"tag_serial_number","date_time","detection_latitude","detection_longitude"
"1293295",2018-07-19,51.6122046899337,3.6463148060996
"1293295",2018-07-20,51.6109875969636,3.67517833814159
"1293295",2018-07-21,51.6140869825458,3.69599343734399
"1293295",2018-07-22,51.6111461363103,3.68449460396748
"1293295",2018-07-23,51.6131289541029,3.68764241796182
"1293295",2018-07-24,51.6130060965457,3.6868105935159
"1293295",2018-07-25,51.6084158309669,3.69007549184173
"1293295",2018-07-26,51.6138515413868,3.686200443195
"1293295",2018-07-27,51.6153394856931,3.69587424390341
"1293295",2018-07-28,51.608589016549,3.69355860969633
"1293295",2018-07-29,51.609695103159,3.6919895109016
"1293295",2018-07-30,51.6136828873955,3.67968179198483
"1293295",2018-07-31,51.6166884572918,3.67052680425041
"1293295",2018-08-01,51.6083971612246,3.67127808360909
"1293295",2018-08-02,51.6066973760816,3.57463570100772
"1293295",2018-08-03,51.608591252668,3.51425504222777
"1293295",2018-08-04,51.6370777826905,3.36990635551262
"1293295",2018-08-05,51.6655037599057,3.29987153185147
"1293295",2018-08-06,51.6933887063649,3.27381947070338
"1293295",2018-08-07,51.6894673483976,3.21018758511809
"1293295",2018-08-08,51.6768557681242,3.16672211808228
"1293295",2018-08-09,51.6668422751412,3.13877780848908
"1293295",2018-08-10,51.6601116511777,3.13453121924147
"1293295",2018-08-11,51.6526381567156,3.11463936189733
"1293295",2018-08-12,51.6364210964127,3.1112071622799
"1293295",2018-08-13,51.6393669975361,3.1116542493901
"1293295",2018-08-14,51.6429015454189,3.10355558207637
"1293295",2018-08-15,51.6317251350474,3.06167052332573
"1293295",2018-08-16,51.6076922532762,3.02718774877756
"1293295",2018-08-17,51.5578067184321,3.00304108510718
"1293295",2018-08-18,51.5756808184123,2.98749088963366
"1293295",2018-08-19,51.5763899938524,2.99797754130069
"1293295",2018-08-20,51.5947786813828,2.89436253200835
"1293295",2018-08-21,51.6229121608672,2.81914548646331
"1293295",2018-08-22,51.6170523686931,2.81643045170992
"1293295",2018-08-23,51.6205948814006,2.82769458512768
"1293295",2018-08-24,51.62335161305,2.826387212125
"1293295",2018-08-25,51.6209141516273,2.81534507823475
"1293304",2019-07-11,51.6122046899337,3.6463148060996
"1293304",2019-07-12,51.609854616344,3.66403553664833
"1293304",2019-07-13,51.6116575299186,3.67644506994728
"1293304",2019-07-14,51.6104179596744,3.69535234583369
"1293304",2019-07-15,51.6152610135283,3.69251447590835
"1293304",2019-07-16,51.6131925457691,3.68303709432684
"1293304",2019-07-17,51.6151527941708,3.68907000441875
"1293304",2019-07-18,51.6113622327175,3.68420587409119
"1293304",2019-07-19,51.616328261685,3.68578744943177
"1293304",2019-07-20,51.6095615011697,3.68346382172074
"1293304",2019-07-21,51.6122022529817,3.6887542347443
"1293304",2019-07-22,51.6120217629956,3.69037016393719
"1293304",2019-07-23,51.6132271438337,3.68335170652502
"1293308",2018-08-02,51.4287807115098,3.40112411167141
"1293308",2018-08-03,51.3985047400492,3.36995639027394
"1293308",2018-08-04,51.4132285710495,3.29888709551323
"1293308",2018-08-05,51.4076285452777,3.24973776844855
"1293308",2018-08-06,51.4051406005929,3.20681425256217
"1293308",2018-08-07,51.3886158150119,3.15197167509973
"1293308",2018-08-08,51.3916068495193,3.11206424926341
"1293308",2018-08-09,51.4043424451937,3.04481404982966
"1293308",2018-08-10,51.4210143479805,2.97745356294317
"1293308",2018-08-11,51.4163050948574,2.93629638491365
"1293308",2018-08-12,51.4280967563472,2.90051404148184
"1293308",2018-08-13,51.4275938579923,2.86488998525957
"1293308",2018-08-14,51.4255211330278,2.83521144134481
"1293308",2018-08-15,51.4227112822958,2.80914301283719
"1293308",2018-08-16,51.4094953983938,2.78135811930811
"1293308",2018-08-17,51.3968391633517,2.7686589694691
"1293308",2018-08-18,51.3793367646907,2.74432268987944
"1293308",2018-08-19,51.3692265883214,2.72950616972174
"1293308",2018-08-20,51.3508937470657,2.73361039739244
"1293308",2018-08-21,51.3286752662628,2.73915520740441
"1293308",2018-08-22,51.3240963415266,2.70844492771526
"1293308",2018-08-23,51.3085116708672,2.66350577173423
"1293308",2018-08-24,51.2899466700065,2.61351820992175
"1293308",2018-08-25,51.2714430135616,2.53622965243996
"1293308",2018-08-26,51.2483165076974,2.46300753580595
"1293308",2018-08-27,51.2199731017268,2.39177843928088
"1293308",2018-08-28,51.1911142275621,2.31617454572666
"1293308",2018-08-29,51.1673503420608,2.25138748184785
"1293308",2018-08-30,51.1384403461944,2.17641823107079
"1293308",2018-08-31,51.1151848625879,2.10689242859695
"1293308",2018-09-01,51.0899090219615,2.02664310769205
"1293308",2018-09-02,51.0601470307019,1.95915373851061
"1293308",2018-09-03,51.0303906572838,1.88749989724406
"1293308",2018-09-04,51.0035358378874,1.81613815402061
"1293308",2018-09-05,50.9796103724658,1.74340323951341
"1293308",2018-09-06,50.94609441924,1.66990117141164
"1293308",2018-09-07,50.9118867672753,1.59042611218578
"1293308",2018-09-08,50.8632245924232,1.54839228208759
"1293308",2018-09-09,50.8173393588517,1.51412906854056
"1293308",2018-09-10,50.7778038869673,1.45263096897717
"1293308",2018-09-11,50.7372225415079,1.39231913899454
"1293308",2018-09-12,50.7006013676002,1.3321277174182
"1293308",2018-09-13,50.6614036683377,1.25664518749558
"1293308",2018-09-14,50.6239862153359,1.18850685732588
"1293308",2018-09-15,50.5949046360025,1.1388445431898
"1293308",2018-09-16,50.5532197571416,1.06241204825106
"1293308",2018-09-17,50.521094577342,0.99191988426945
"1293308",2018-09-18,50.4829078756936,0.922869237374108
